unique_id,building,floor,room,sensor_type,file_path
128,POLOA,6,621,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621\light.csv
129,POLOA,6,621,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621\pir.csv
130,POLOA,6,621,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621\temperature.csv
131,POLOA,6,621A,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621A\co2.csv
132,POLOA,6,621A,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621A\humidity.csv
133,POLOA,6,621A,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621A\light.csv
134,POLOA,6,621A,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621A\pir.csv
135,POLOA,6,621A,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621A\temperature.csv
136,POLOA,6,621C,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621C\co2.csv
137,POLOA,6,621C,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621C\humidity.csv
138,POLOA,6,621C,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621C\light.csv
139,POLOA,6,621C,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621C\pir.csv
140,POLOA,6,621C,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621C\temperature.csv
141,POLOA,6,621D,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621D\co2.csv
142,POLOA,6,621D,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621D\humidity.csv
143,POLOA,6,621D,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621D\light.csv
144,POLOA,6,621D,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621D\pir.csv
145,POLOA,6,621D,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621D\temperature.csv
146,POLOA,6,621E,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621E\co2.csv
147,POLOA,6,621E,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621E\humidity.csv
148,POLOA,6,621E,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621E\light.csv
149,POLOA,6,621E,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621E\pir.csv
150,POLOA,6,621E,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\621E\temperature.csv
151,POLOA,6,640,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\640\co2.csv
152,POLOA,6,640,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\640\humidity.csv
153,POLOA,6,640,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\640\light.csv
154,POLOA,6,640,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\640\pir.csv
155,POLOA,6,640,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\640\temperature.csv
156,POLOA,6,644,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\644\co2.csv
157,POLOA,6,644,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\644\humidity.csv
158,POLOA,6,644,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\644\light.csv
159,POLOA,6,644,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\644\pir.csv
160,POLOA,6,644,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\644\temperature.csv
161,POLOA,6,648,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\648\co2.csv
162,POLOA,6,648,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\648\humidity.csv
163,POLOA,6,648,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\648\light.csv
164,POLOA,6,648,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\648\pir.csv
165,POLOA,6,648,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\648\temperature.csv
166,POLOA,6,656A,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656A\co2.csv
167,POLOA,6,656A,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656A\humidity.csv
168,POLOA,6,656A,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656A\light.csv
169,POLOA,6,656A,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656A\pir.csv
170,POLOA,6,656A,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656A\temperature.csv
171,POLOA,6,656B,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656B\co2.csv
172,POLOA,6,656B,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656B\humidity.csv
173,POLOA,6,656B,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656B\light.csv
174,POLOA,6,656B,pir,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656B\pir.csv
175,POLOA,6,656B,temperature,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\656B\temperature.csv
176,POLOA,6,664,co2,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\664\co2.csv
177,POLOA,6,664,humidity,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\664\humidity.csv
178,POLOA,6,664,light,c:\Users\eloma\OneDrive\Desktop\TBDM-Heatmap\./data/raw_dataset\6\664\light.csv
